Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
República Checa,CZE,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,3500,4170,5150,5980,6160,6110,6110,6340,6350,6650,8110,10260,12480,14000,15850,18510,18840,19400,19460,19440,19410,18900,18370,17670,18310,20520,21930,
Alemania,DEU,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,25990,27530,29520,30860,30140,27950,26840,26150,24740,23610,26080,31570,35710,38230,40440,43570,43520,44550,47220,46530,47190,47620,45810,44230,43570,47050,48600,
Djibouti,DJI,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,2730,2870,2990,3260,3310,
Dominica,DMA,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,3410,3490,3720,3890,4010,4200,4200,4220,4470,4270,4680,4950,5050,5490,5760,6340,6520,6730,6920,6730,6780,7020,6870,7340,7060,7710,7920,
Dinamarca,DNK,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,28570,30360,32560,34770,35150,33460,33060,32580,31410,30850,34750,42640,49610,53540,55740,60390,60090,61220,61990,61650,63200,63670,60510,58040,56190,61020,64000,
República Dominicana,DOM,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,1610,1740,1960,2170,2360,2450,2540,2680,2740,2890,2640,2560,3040,3640,4430,4760,4920,5330,5540,5790,6030,6330,6580,6860,7090,7760,8080,
Argelia,DZA,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,1730,1620,1550,1520,1510,1540,1530,1590,1670,1730,1920,2250,2710,3100,3600,4210,4290,4480,4600,5170,5510,5490,4850,4380,3950,3980,4010,
Asia oriental y el Pacífico (excluido altos ingresos),EAP,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,541.490190023281,607.909897234929,699.298566419261,813.947812464219,882.192713634834,828.352295682802,852.501470067483,910.98587609761,982.924794933964,1064.77876052287,1210.01954851671,1423.34218875651,1636.8763459991,1894.221583624,2273.24917910431,2770.04258215819,3214.32511343707,3758.82648962309,4341.65912027603,5074.76244367315,5707.69443014075,6210.3489923717,6471.95828817575,6681.2778756346,7018.98816592413,7690.3704480893,8285.40103422742,
inicial del dividendo demográfico,EAR,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,1033.76702333488,1087.16022882964,1112.62650831885,1164.63588449613,1201.4360746856,1171.41010093499,1184.25304434303,1247.77881742379,1266.09654979976,1234.41805690777,1310.49205782462,1486.77565640541,1700.44010737622,1907.23229929085,2156.11464305757,2415.09456555853,2499.32174863809,2725.6745944901,2968.78846536552,3274.3156965663,3409.96153951189,3446.14437684467,3365.39759269694,3322.93728302736,3372.8563813022,3538.72011669569,3626.53887119376,
Asia oriental y el Pacífico,EAS,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,3317.32660869406,3639.96529378806,4102.0870223463,4310.52400265846,4182.823307759,3664.2457944874,3627.38439798824,3836.31723626143,3922.16505276131,3878.21828702021,4060.44887856897,4567.93268996277,5000.63530476902,5289.57362190119,5662.8923699003,6173.58497922195,6523.29746303398,7339.11682521407,8139.69809929808,9108.21891908977,9709.9959370699,9941.99096639234,9830.23313870305,9903.3181388387,10246.7441388211,11099.8838790233,11718.0363225641,
