Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Côte d'Ivoire,CIV,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,39690446.8140347,479390726.766612,-139224344.56784,453391411.416661,1624099251.53341,464985734.719055,2666211854.50729,-320534296.113486,-632903985.211776,510714255.800385,-201372902.110014,-414272956.17827,-1049091688.73414,-2284501507.15009,-1348827419.86918,
Camerún,CMR,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-512249889.290159,-56069410.5139645,89853033.0312363,-286663480.265121,-582196044.70569,-150780799.100466,-509552038.844446,-218400391.176048,-347657566.842622,-439310637.825345,-597885392.057052,-416181816.142272,-495561604.1573,193518455.417047,286074705.384054,-451560496.167241,-1123176667.55155,-857140093.126026,-749196879.802832,-955933681.046118,-1128087432.11619,-1401974731.54436,-1173691255.37907,-1037444249.38414,-949763043.433564,-1409334283.70355,-1695070703.44845,
"Congo, República Democrática del",COD,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,-388600000,47800000,527000000,-151000000,-1123100000,-2173500000,-1280602281.098,-1260461518.19425,-3108803235.91548,-1722614687.42187,-1483759412.35417,-1504066909.29432,-1241424115.72338,-1672321586.88752,-1693232060.97432,
"Congo, República del",COG,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-552686023.260323,-793401070.716395,-625202813.044033,-650850196.963453,-155846793.250828,-240607802.398939,-230648368.050715,648133956.948069,-28424154.8009296,-34451085.220057,520474598.488771,674446801.657501,695587032.089811,124117857.284206,-2105084342.6976,865773671.000126,-1365785099.28566,900330482.896872,2070427332.72036,2421397244.27375,1936401764.00207,678875098.851816,-4628709577.53541,-3593571060.70388,,,,
Colombia,COL,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-2102400000,-3666972447.69263,-4515876292.87012,-4641240162.00298,-5750513928.35473,-4857623993.57951,670982414.631348,845404083.052557,-1040314751.93966,-1289193776.36478,-956646233.980396,-823152676.791954,-1872638174.7737,-2927081258.80141,-6073222743.53974,-6400056718.50734,-4621645280.73864,-8821965979.79047,-9911251367.146,-11640686709.4112,-12587008367.2587,-20233143275.0583,-19301830451.3685,-12781912602.1939,-10741864248.3476,-13634417271.859,-14284973777.1075,
Comoras,COM,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,9574086.299955,-7216639.07004114,-18963177.4793974,,,,,,,,-18440042.7570669,-20735592.7262623,-26850846.4468702,-22538506.4825178,-31618920.9904042,-68992132.6176021,-39385082.4731095,-39335660.7539685,-55499670.6325581,-41138657.3809883,,-43458200.0492291,-2477534.16977595,-44044054.7424754,-22971469.9123706,-33669717.2453532,-37401621.4336349,
Cabo Verde,CPV,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-23929894.6258464,-45729294.0805341,-61624522.9007634,-35041392.4925254,-29721711.4442099,-58512075.7010456,-74762927.327212,-60148009.9283191,-55742978.4307294,-71449519.7966953,-90479472.090554,-130079767.704947,-40659725.6592937,-82729932.5907273,-198162898.930709,-205256847.392795,-244926653.831627,-222769238.22582,-304537748.899292,-243559056.359804,-107358950.846904,-168960587.690282,-50593257.4987504,-64135178.5263146,-139634461.859257,-101706160.718935,-7565567.1506369,
Costa Rica,CRI,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-620200000,-233600000,-358142000,-263670000,-480876000,-520750000,-666448850.927037,-684555193.408292,-514265066.186886,-860075342.237825,-899691788.356237,-675040285.839869,-860047056.609942,-938716203.573065,-1498808912.55762,-2580547377.89337,-560580957.632153,-1213874254.44305,-2265057621.4729,-2411089980.96441,-2431168562.87704,-2453096344.75792,-1921262983.44276,-1257276124.2559,-2139761567.89212,-1890331928.06875,-1289119392.26517,
Estados pequeos del Caribe,CSS,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
