,industry,variable,value
180,56 SERVICIOS DE COMIDAS Y BEBIDAS,1999,88.89
181,58 EDICIÓN,1999,738.57
182,61 TELECOMUNICACIONES,1999,0.6000000000000001
183,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",1999,3.0
184,68 ACTIVIDADES INMOBILIARIAS,1999,14464.66
185,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,1999,291.49
186,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,1999,1.17
187,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",1999,235.44
188,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,1999,1643.93
189,86 ACTIVIDADES SANITARIAS,1999,1.5
190,92 ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS,1999,0.0
191,96 OTROS SERVICIOS PERSONALES,1999,30.0
192,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS",2000,25499.03
193,13 INDUSTRIA TEXTIL,2000,3.01
194,18 ARTES GRÁFICAS Y REPRODUCCIÓN DE SOPORTES GRABADOS,2000,611.68
195,20 INDUSTRIA QUÍMICA,2000,0.0
196,22 FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICOS,2000,6.01
197,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO,2000,0.0
198,"25 FABRICACIÓN DE PRODUCTOS METÁLICOS, EXCEPTO MAQUINAR",2000,6.01
199,27 FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO,2000,3320.58
200,"29 FABRICACIÓN DE VEHÍCULOS DE MOTOR, REMOLQUES",2000,19.83
201,31 FABRICACIÓN DE MUEBLES,2000,13.5
202,33 REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,2000,60.48
203,41 CONSTRUCCIÓN DE EDIFICIOS,2000,20787.02
204,45 VENTA Y REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICL.,2000,0.01
205,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",2000,2238.15
206,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",2000,12.37
207,50 TRANSPORTE MARÍTIMO Y POR VÍAS NAVEGABLES INTERIORES,2000,0.0
208,53 ACTIVIDADES POSTALES Y DE CORREOS,2000,524.3
209,55 SERVICIOS DE ALOJAMIENTO,2000,256.57
210,56 SERVICIOS DE COMIDAS Y BEBIDAS,2000,1654.43
211,58 EDICIÓN,2000,1642.06
212,"59 ACTIV. CINEMATOGRÁF, DE VÍDEO Y PROGRA. DE TV, GRAB.",2000,66.11
213,61 TELECOMUNICACIONES,2000,4166.32
214,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",2000,3090.18
215,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",2000,2802.6
216,66 ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS,2000,237.87
217,68 ACTIVIDADES INMOBILIARIAS,2000,1446.2
218,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,2000,129.22
219,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,2000,228.24
220,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",2000,988.44
221,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,2000,6.91
222,85 EDUCACIÓN,2000,2.7
223,86 ACTIVIDADES SANITARIAS,2000,1.8
224,"93 ACTIVIDADES DEPORTIVAS, RECREATIVAS Y DE ENTRETENIM.",2000,164.0
225,11 FABRICACIÓN DE BEBIDAS,2001,42.19
